adc,ScatteringCross_section_m2,Water,Silica,Glass,PSL,Dust
188,3.99904743260304e-12,3.71241621888037,3.45661677249104,3.3874104477636,3.39936426424726,3.90785791556607
189,4.05104648338623e-12,3.68990559864947,3.52392918494008,3.49546969844741,3.40611110128768,3.94099240864734
190,4.10304553416942e-12,3.77404743622667,3.52848634554721,3.51555163320618,3.41600575446974,3.95161356297896
191,4.15504458495261e-12,3.82648757648192,3.53177888047706,3.54034982108467,3.42687919180288,3.99864532575213
192,4.2070436357358e-12,3.79140809423839,3.58578320069006,3.56475617323287,3.45898344409721,4.02500604741732
193,4.25904268651899e-12,3.84559545219799,3.57324587311721,3.57560891421094,3.55500243037823,4.03368655718582
194,4.31104173730218e-12,3.86274784485649,3.58515980767196,3.58725592530476,3.49435318483058,4.08633129120095
195,4.36304078808537e-12,3.91518745271862,3.61563233624508,3.62085186190034,3.60718276957273,4.10903263410815
196,4.41503983886857e-12,3.93959404858728,3.65767447864676,3.62600903931586,3.63436399409781,4.1184127242307
197,4.46703888965176e-12,3.93416962477024,3.68482419390928,3.64792188663106,3.59927197559388,4.18709002884203
198,4.51903794043495e-12,3.95265534650901,3.65304464472996,3.6569158131712,3.67441112860859,4.19740216001045
199,4.57103699121814e-12,3.99067320402011,3.70568103230158,3.69206959300846,3.69475989876253,4.26642290907085
200,4.62303604200133e-12,3.99319306809589,3.76039035969303,3.69059060746806,3.67600287204302,4.27801719043516
201,4.67503509278452e-12,4.03577127617408,3.7375310754647,3.70893413757317,3.732016072768,4.3194314032796
202,4.72703414356771e-12,4.0436869784128,3.78770859072258,3.71881189070064,3.75188778775155,4.35564839860387
203,4.7790331943509e-12,4.08615733778525,3.8388294586656,3.74107794445021,3.76311649310763,4.3802431612391
204,4.83103224513409e-12,3.97010536767266,3.85079187415431,3.75034133796668,3.78265912651177,4.41610661460297
205,4.88303129591728e-12,4.1245649920595,3.88981571979094,3.78842695206405,3.81842073156291,4.43975858240235
206,4.93503034670048e-12,4.13242869573445,3.91183178789904,3.84200537774581,3.78260924111587,4.45575818164525
207,4.98702939748367e-12,4.15314355618009,3.92953035498688,3.83985038710711,3.83748369996342,4.46761937079943
208,5.03902844826686e-12,4.20152803827535,3.93533819548563,3.87951877905062,3.8480985812365,4.50783478937935
209,5.09102749905005e-12,4.20872969910783,3.96508049450699,3.92526583610985,3.89571955211074,4.52335585395517
210,5.14302654983324e-12,4.2201328832578,3.98113697974162,3.90083404553551,3.88026375445811,4.53751839618269
211,5.19502560061643e-12,4.27122432103111,4.01061701718513,3.94036820559194,3.91596789357814,4.54650841246
212,5.24702465139962e-12,4.25894346470113,4.01994458450075,3.99628605169038,3.93785980099184,4.5804913696114
213,5.29902370218281e-12,4.28979885246275,4.04436453679992,4.00736790449748,3.957545448731,4.60641063451001
214,5.351022752966e-12,4.29969773783763,4.07523985073529,4.01260778479159,3.96157049987641,4.6198009486768
215,5.40302180374919e-12,4.30964930049135,4.09647342241285,4.01371685542018,3.99569992938833,4.66255997461555
216,5.45502085453238e-12,4.35378664460135,4.11373120851615,4.04066686043662,4.01964470910042,4.69124602026896
217,5.50701990531558e-12,4.34309257245705,4.12582713030497,4.05341319338291,4.03184901428344,4.70137225315543
218,5.55901895609877e-12,4.37673022576229,4.1343089958032,4.05784508913991,4.03675883839093,4.77094439977529
219,5.61101800688196e-12,4.39231367010521,4.17075409892455,4.09795395906345,4.07230717947196,4.78025464006284
220,5.66301705766515e-12,4.39901095734557,4.23710766871489,4.06632423302071,4.12028656222529,4.84732000427546
221,5.71501610844834e-12,4.45113462976571,4.23088349565979,4.15201311359714,4.09789673961402,4.8592201534924
222,5.76701515923153e-12,4.45941828357064,4.13558295511996,4.14144947017635,4.13239439719639,4.87470438421592
223,5.81901421001472e-12,4.47167901136283,4.27998255572788,4.18617981980327,4.113347469138,4.88167966210252
224,5.87101326079791e-12,4.4846071392506,4.30845043523515,4.23919473271472,4.17510049976011,4.94152555047233
225,5.9230123115811e-12,4.51505000419545,4.29388268784766,4.17372868557472,4.17599204307945,4.97374600601101
226,5.9750113623643e-12,4.54522992344385,4.28853797875116,4.26673953129029,4.13526279222214,5.01297020151013
227,6.02701041314749e-12,4.56578517867653,4.38837973952299,4.27265177164425,4.21234531113172,5.02010191022304
228,6.07900946393068e-12,4.57271964686696,4.3836921171931,4.29248169271319,4.24801883232021,5.02684988037709
229,6.13100851471387e-12,4.58857255429347,4.4103958362794,4.34351100872514,4.25555388105001,5.09150431879901
230,6.18300756549706e-12,4.63843331783899,4.42838017885267,4.35536206110746,4.275324441889,5.09933737108625
231,6.23500661628025e-12,4.64950935711345,4.42207741816715,4.38540515395196,4.30010543286208,5.10622036114337
232,6.28700566706344e-12,4.68798659671227,4.45742646003711,4.38579834671262,4.33860472424641,5.14252990449949
233,6.33900471784663e-12,4.72646553762935,4.48469669528256,4.42301794396126,4.3585386747389,5.18082374473878
234,6.39100376862982e-12,4.72423682395862,4.48611468939813,4.43319054031898,4.38369193118929,5.18972912203635
235,6.44300281941301e-12,4.79225035107225,4.44075203777624,4.45533606229775,4.39803628778674,5.22209210682522
236,6.4950018701962e-12,4.82443505411944,4.51953844386003,4.47709725326751,4.40947970992317,5.26373704370672
237,6.5470009209794e-12,4.82758785164446,4.55764642953287,4.48282146706357,4.45589037403243,5.28940964139411
238,6.59899997176259e-12,4.81373633657127,4.56380860833408,4.49769580075552,4.49335102401867,5.30664703512137
239,6.65099902254578e-12,4.88128894553669,4.56904084649658,4.5071414543472,4.48022242121005,5.34412383662539
240,6.70299807332897e-12,4.84301200811336,4.57293040414111,4.53055231917156,4.50919051711205,5.3656420653351
241,6.75499712411216e-12,4.90040402206405,4.57648604903766,4.5507908796119,4.51952973519499,5.37641184543422
242,6.80699617489535e-12,4.90063334214706,4.63643722362018,4.55855047149206,4.53860423078216,5.41679476897386
243,6.85899522567854e-12,4.92437393993341,4.62931649993692,4.56133792735068,4.56396677524868,5.43508892580602
244,6.91099427646173e-12,4.95218815301638,4.64912051231551,4.57508168583492,4.58717487737518,5.44830102150197
245,6.96299332724492e-12,4.98140697582203,4.6529318631268,4.58995851420077,4.5900265627716,5.45639866064477
246,7.01499237802812e-12,4.99902337224081,4.65630702771214,4.60979487469201,4.5827654435344,5.4758955944879
247,7.06699142881131e-12,4.98687184071238,4.68362707431545,4.63283983014247,4.61964854932739,5.5221825166506
248,7.1189904795945e-12,5.03179290204356,4.66332314252501,4.63794056120961,4.60551937027925,5.53146293753775
249,7.17098953037769e-12,5.01892797862596,4.73216557859434,4.64439557624231,4.63980876225307,5.53868995718224
250,7.22298858116088e-12,5.09056618135319,4.77590822494504,4.65667793354218,4.61465317669379,5.60140480855951
251,7.27498763194407e-12,5.07313319473256,4.80531221391325,4.68258308522802,4.66621573407713,5.610984793064
252,7.32698668272726e-12,5.07253009896003,4.76641861882791,4.71325519555226,4.63476158083103,5.61816409170174
253,7.37898573351045e-12,5.17339686972411,4.77566344475269,4.71587687444561,4.70294540925323,5.68743141613622
254,7.43098478429364e-12,5.11116028932387,4.87312883813046,4.72616993255139,4.71019832656627,5.69431778957168
255,7.48298383507683e-12,5.14275778269513,4.82509610619737,4.78530942516722,4.7287583867618,5.71356935153388
256,7.53498288586003e-12,5.18136974673988,4.86698282354628,4.74398810236056,4.74131199843425,5.7737237196165
257,7.58698193664322e-12,5.25392196234967,4.83716555955309,4.83651290124519,4.77588111145193,5.82215320931645
258,7.63898098742641e-12,5.23217032533295,4.95134396653398,4.80922321173411,4.79137537673515,5.84964642461109
259,7.6909800382096e-12,5.24908698655148,4.84987081780528,4.81391883834809,4.80127624504385,5.85601584750501
260,7.74297908899279e-12,5.25413734130912,4.95013259830026,4.8600007198037,4.81617891916209,5.86390058619423
261,7.79497813977598e-12,5.26652863079592,4.94381169518393,4.89910068945511,4.84210284086127,5.92455086643867
262,7.84697719055917e-12,5.30416764471581,5.03732534695807,4.88636300957446,4.83525105186733,5.93106992272339
263,7.89897624134236e-12,5.3244447116285,4.96541560493367,4.92898982289046,4.88561319425973,5.93751301270925
264,7.95097529212555e-12,5.34012087541652,5.02648073550401,4.92279463170123,4.91904005029649,5.95196520341421
265,8.00297434290874e-12,5.32924694035999,5.04504809033023,4.93743026931344,4.92606996843084,6.00304911289426
266,8.05497339369193e-12,5.36851265542767,5.02993043719489,4.96295509513246,4.85538144307284,6.01004940531227
267,8.10697244447513e-12,5.40613046758525,5.05057164331772,4.9774069918442,4.95407538694458,6.01680671758059
268,8.15897149525832e-12,5.41505113746823,5.11882541956012,5.01961105746224,4.99618714341289,6.04451980109092
269,8.21097054604151e-12,5.41770495964564,5.09162568342077,5.03237132922603,4.92636629108309,6.08457570400585
270,8.2629695968247e-12,5.42946928179146,5.13582173653183,5.04488724407051,4.95290173832089,6.09215357896128
271,8.31496864760789e-12,5.5137499734204,5.10150980904126,5.07202258447267,5.02353173587939,6.11401728546434
272,8.36696769839108e-12,5.51140685319236,5.07978658101954,5.0656154596116,5.03875427592989,6.14323390106368
273,8.41896674917427e-12,5.51917199660026,5.18990385551449,5.09158846253742,5.07441348723552,6.17123478215293
274,8.47096579995746e-12,5.5252781649605,5.15560797771266,5.11227096300451,5.05197091904782,6.19866704721554
275,8.52296485074065e-12,5.53621316741628,5.20255343036317,5.09634892225942,5.06562888656988,6.22815931987257
276,8.57496390152384e-12,5.5466119787656,5.2251595543633,5.13644917377028,5.10068027591608,6.25038312668231
277,8.62696295230704e-12,5.57618604882821,5.23518453382537,5.18115179004606,5.11651301796461,6.27979794306686
278,8.67896200309023e-12,5.60085687600989,5.28084857646218,5.1755777320345,5.0922608335262,6.28902202953239
279,8.73096105387342e-12,5.61295036926471,5.29984111739992,5.18486860003235,5.12868077271533,6.32593341191664
280,8.78296010465661e-12,5.61866996309877,5.28009529913266,5.23024550502234,5.13735960545159,6.35652415531941
281,8.8349591554398e-12,5.63124230731247,5.30735865409754,5.21688226220357,5.17137850830784,6.36506247048664
282,8.88695820622299e-12,5.64287272673443,5.33670828000375,5.2625647729067,5.14118722252716,6.39763083046063
283,8.93895725700618e-12,5.66792101023197,5.37507262449313,5.26386193889982,5.21206954041364,6.42648563272021
284,8.99095630778937e-12,5.67408335047205,5.38156644460298,5.29935268443863,5.22794638633967,6.4405654123883
285,9.04295535857256e-12,5.6877283933074,5.38612337821105,5.30406165748956,5.23810371770303,6.44791970647972
286,9.09495440935576e-12,5.69517046750749,5.43264215727081,5.29928556485968,5.25109873220531,6.481356394882
287,9.14695346013895e-12,5.71659182507668,5.43944901510721,5.34300334145374,5.27806338572134,6.51764950487122
288,9.19895251092214e-12,5.72720840888393,5.44307872664729,5.34943979885619,5.30251647089653,6.52484257235571
289,9.25095156170533e-12,5.7435660088351,5.45429595038619,5.35683424330536,5.29041486060651,6.5348775850744
290,9.30295061248852e-12,5.75519156625902,5.46406491535768,5.36304510694227,5.33299877495922,6.59845780113457
291,9.35494966327171e-12,5.76373961424779,5.5142400889113,5.34065890326218,5.3098546098504,6.60602350985183
292,9.4069487140549e-12,5.78098697440706,5.51573870181745,5.35685259961281,5.37887196282252,6.66908043292254
293,9.45894776483809e-12,5.80816348666213,5.53093300768779,5.42223787562672,5.36149837280694,6.68239732559604
294,9.51094681562128e-12,5.80759747927677,5.5352980284399,5.40560802301431,5.36057351426362,6.69118685994768
295,9.56294586640447e-12,5.81076848307976,5.53934128638265,5.43581785712284,5.39408542046872,6.7560015066799
296,9.61494491718767e-12,5.84113829412022,5.54324978698085,5.45982923016418,5.42445073763416,6.76283805136314
297,9.66694396797086e-12,5.85347262370652,5.56063935945893,5.39614354711382,5.38526816387294,6.77070698044459
298,9.71894301875405e-12,5.89311562360416,5.6075598490849,5.40156972065192,5.45429349591102,6.82374058494603
299,9.77094206953724e-12,5.89912515798401,5.61214191651034,5.48781367393631,5.45946247096979,6.83701945888738
300,9.82294112032043e-12,5.92498185990609,5.60681662767708,5.50069600975905,5.44722022657225,6.84349998381709
